"date","MNND","Rao","FRic","FDis","FDiv","FEve","SRic","SDiv","RARDis","RARScr"
1979,0.270570021797351,0.336785320663799,1.43978697265896e-11,0.17792286513247,0.847785006451965,0.212444866179956,15,1.2870614672049,0.301687990633335,0.792402831060012
1980,0.261333164322288,0.325646274450681,7.67739632687402e-11,0.169116073008501,0.828442795171136,0.24689248207144,17,1.23223494489515,0.307823240963177,0.798441984385657
1981,0.28715508699853,0.362233260764352,7.67739632687402e-11,0.211262585372412,0.919183166780138,0.181570786215779,17,1.13534968573377,0.324268305170145,0.815847766165954
1982,0.302863970796202,0.351076405647666,7.67739632687402e-11,0.200495023479593,0.932561874497107,0.24591423379291,17,1.20434035559996,0.330105262461354,0.791461616874671
1983,0.289103356527779,0.387648489934737,7.67739632687402e-11,0.211594972099795,0.891944119401743,0.234609164780334,17,1.35560410251574,0.319769513522808,0.78170338895605
1984,0.287476990866058,0.407312629137341,7.67739632687402e-11,0.219306056599943,0.884764688806648,0.235926487216756,17,1.42416650486127,0.320893798942092,0.770396097257981
1985,0.286088324512799,0.385630302592297,7.67739632687402e-11,0.214673051423425,0.900595336102871,0.233318696801394,17,1.28620384094739,0.32129175524836,0.794755215226849
1986,0.287838939132954,0.435831440040834,7.67739632687402e-11,0.218649374238051,0.875230759474935,0.2381009624717,17,1.68581994226509,0.325578595316218,0.722198166187763
1987,0.262109154094756,0.119205539280693,3.703477981161e-12,0.0479797443140315,0.791558517903156,0.263590158389298,14,0.543089535039489,0.305774186947,0.880774915389497
1988,0.273349248358248,0.399791402579786,7.67739632687402e-11,0.204654706400271,0.843882899737794,0.231669321044835,17,1.49205772408281,0.311103157539839,0.759731184271029
1989,0.288259710895722,0.428267038603774,7.67739632687402e-11,0.220593736967451,0.885765944069708,0.220129730248002,17,1.56909547391271,0.326164782680851,0.744353337537416
1990,0.294216116689389,0.361116058746262,7.67739632687402e-11,0.202364572295192,0.892698518414432,0.284036754687466,17,1.2585641980712,0.320492125564043,0.791546225978062
1991,0.284259625750718,0.409298985857461,7.67739632687402e-11,0.218403911021394,0.880822609031428,0.338923931544369,17,1.42263751393163,0.320703743993073,0.773912194323358
1992,0.297640192240315,0.382175590675713,7.67739632687402e-11,0.209297578427239,0.903345061987424,0.187172867164433,17,1.39150731387639,0.324182970947798,0.766748016263502
1993,0.296085346013646,0.373753546468662,7.67739632687402e-11,0.20513908370318,0.910094245548185,0.224869533758988,17,1.33046609136913,0.323815539571769,0.779238472925381
1994,0.317446833335083,0.459077412363672,7.67739632687402e-11,0.242742096976999,0.906084033970617,0.30402937802862,17,1.65232851880328,0.351847578101204,0.729184003474607
1995,0.266197144707717,0.32469959334099,7.67739632687402e-11,0.165904436798365,0.791405979828402,0.289047337994591,17,1.30143494575618,0.303035745465312,0.778336031545305
1996,0.277386611938152,0.383032631815149,7.67739632687402e-11,0.19569628303447,0.818080331438694,0.370949728692374,17,1.52180064110006,0.313100248544633,0.744293455048343
1997,0.277761926139071,0.342003963992109,7.67739632687402e-11,0.18417448641554,0.803457165695806,0.279665561451064,17,1.34196253432582,0.308618398973122,0.772754133710894
1998,0.269905206142198,0.370368503772829,7.67739632687402e-11,0.18823879595229,0.849685489983579,0.293890672557904,17,1.4373367595877,0.315382176302641,0.765616859639153
1999,0.304040009845033,0.444211704587215,7.67739632687402e-11,0.232251099627334,0.872959419703095,0.307242754296303,17,1.64325896213732,0.339392315539045,0.734027983644731
2000,0.318357590465031,0.426682218867059,5.38234408134461e-11,0.217249392304885,0.8517943154287,0.27377361675439,16,1.62212850516892,0.328752361077549,0.737942277429702
2001,0.270297521656337,0.339637818462697,7.67739632687402e-11,0.168746216544197,0.768901341231598,0.235680040192293,17,1.47299162632745,0.297137068477948,0.752720285320662
2002,0.290948088766045,0.418211612752266,7.67739632687402e-11,0.213485452155124,0.890033834149122,0.259739412699018,17,1.61572107961925,0.318881776613455,0.740755108610929
